# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
16697971	2.195801625
16865910	1.77638
16702935	1.224247375
17108959	1.771381
16875559	-1.59056525
17079477	-1.005458125
16743943	1.49320075
17056984	-2.87810975
16781573	2.201318625
16964516	2.5257675
16676954	-1.043314
16814863	1.847992375
17012882	1.876252375
16783230	1.155611
16801075	-2.856813625
16844356	-1.912799375
16692834	2.535479875
16937855	1.444127625
16914509	-1.4909915
17055828	-1.461943375
16668582	2.13357825
16761350	4.57983725
16724235	-2.054544875
17084866	1.34401675
16669501	-1.95753125
17088527	2.6009325
16882507	-1.191329875
17029847	2.816712125
16942681	-1.575277625
16804631	-1.623143125
17056181	2.242949375
16725210	2.21347825
16728788	-1.39230475
16696114	3.215201625
16856906	1.3421705
17070110	4.40026125
16872832	-2.059135875
16960054	-1.684298625
16959007	1.128208
17056701	1.818734625
16806844	-2.884575875
16674927	1.367826625
16784201	1.9474945
16753914	2.2749185
16842673	-1.111816125
17101543	1.73991175
16689070	1.05697775
16739479	1.118790875
17031178	2.534462
16936137	1.33662075
16910959	1.70559875
16871622	3.251400625
17009676	-1.489810625
16761212	2.895782625
16855820	-1.231212375
16901986	1.796975375
17068782	-1.051792125
17070653	2.229769875
16907427	-0.9271465
16687875	1.956031375
16878438	1.975224375
16719450	-2.494084125
17056625	-1.616353625
16856031	1.39764125
17095887	2.720710625
17074259	-3.34128775
17055657	2.1616685
17031139	5.00506625
16693474	1.425826875
16840245	1.2862245
16700515	1.934663125
17007368	1.226872875
17026460	1.226872875
16904447	-1.502551
16730471	2.123980625
17051626	-1.623233375
17015540	-1.35076375
16984801	5.275594625
17095882	5.00095275
16800028	1.09799
16919508	-1.214904
16975671	1.591343
16669255	-1.3780685
16702047	-1.420785
16779546	-1.8310105
17107309	-1.44484175
16717962	1.3712645
16777812	1.506690875
16961551	1.56703875
16886625	1.430392
16778325	-1.282589625
17059323	2.994063375
17059165	-3.809364625
16902679	2.103461
17011121	3.37561475
16781591	2.51359675
16850294	-1.515380375
17041697	1.090298125
16975213	2.26350825
16813342	-1.318602875
16881199	-1.73830075
16874339	1.827391625
17055630	1.679422125
17114707	0.886800625
17005001	1.160810625
16978525	1.029322375
16787799	0.867245125
16747417	1.17702
16858137	1.2078495
16760257	1.8016305
17060923	0.81003825
17102801	3.082492875
17104259	1.817405625
16723944	1.199302875
17099887	1.630078625
17101214	1.1769385
16767170	-1.76432675
16922887	-2.760116625
17016089	5.62669025
16904780	-1.02456125
17101531	2.182329
16862112	-4.2627135
17033604	5.09872825
16904741	1.9560315
17105076	1.7167075
16843602	1.87899875
17095870	2.575928625
16706238	-1.055249
17037192	1.812221625
16947287	1.77509775
16733719	2.385337125
16674185	1.454783125
16784008	1.120089
17046640	2.0324695
16999083	-3.158435
17025230	1.674985
17063100	-1.109237
16714618	-2.5935425
16913733	-3.353566875
16721835	-1.473933375
16698923	-1.55377225
17076726	1.58766325
17007257	4.798860625
16886200	1.850955125
16887179	2.307739625
17113980	-0.901287
16957636	1.509611375
17051480	-1.096960375
16799793	-1.4706515
17028326	2.861714625
16914315	-1.32095425
17105332	1.329620125
17097132	1.699373875
16912130	2.061905375
16889160	2.582030125
17019724	1.8651925
16925746	-1.5401645
16670185	-2.672927125
17107097	1.71181925
17013773	1.051002375
16748590	1.700326125
17098642	1.298772625
16660360	1.70104375
17028313	5.003407625
16912379	-1.467141625
17026109	1.326243
17027344	1.326243
16871239	0.989663
16829085	-2.1220985
16865699	1.25800275
16986409	3.551280125
16864883	-1.0519855
17011771	1.69078725
16879408	-1.312915125
16959805	2.0362665
